COUNTY,2012 Total,2013 Total,2014 Total,2015 Total,1/1-6/30 2016 Total,2004 Heroin*,2005 Heroin*,2006 Heroin*,2007 Heroin*,2008 Heroin*,2009 Heroin*,2010 Heroin*,2011 Heroin*,2012 Heroin*,2013 Heroin*,2014 Heroin,2015 Heroin,1/1-6/30 2016 Heroin,2012 Fentanyl,2013 Fentanyl,2014 Fentanyl,2015 Fentanyl ,1/1-6/30 2016 Fentanyl ,1/1-6/30 2016 Fentanyl Analogues**
Atlantic,81,84,88,85,83,24,24,19,18,21,24,17,29,36,47,48,54,48,3,1,9,23,29,1
Bergen,75,91,81,85,51,23,21,19,24,16,19,13,31,32,36,42,51,30,6,5,8,24,14,2
Burlington,67,70,75,87,46,6,13,17,8,17,15,20,23,35,43,25,41,19,4,0,13,38,7,0
Camden,139,160,138,191,76,37,38,71,29,49,53,49,78,79,104,91,115,54,1,1,12,53,23,1
Cape May,24,30,24,32,17,3,13,12,6,12,4,2,8,15,17,14,18,7,0,8,4,10,5,1
Cumberland,26,22,27,38,25,6,2,9,1,5,7,5,7,14,14,18,16,17,0,0,1,10,9,0
Essex,102,132,114,146,125,69,85,72,62,47,38,30,26,45,60,54,91,67,2,4,13,29,35,3
Gloucester,58,71,51,65,39,10,14,33,15,17,17,20,25,31,50,40,37,26,0,0,3,17,13,0
Hudson,73,77,64,107,58,26,35,27,26,24,23,13,18,31,31,32,64,38,2,4,6,18,13,0
Hunterdon,8,8,12,14,8,2,3,1,3,10,0,2,4,3,4,3,8,3,0,0,0,2,1,0
Mercer,38,48,44,59,28,17,12,16,8,14,11,9,21,26,25,22,39,13,0,1,2,15,8,0
Middlesex,100,85,114,106,89,26,29,26,35,25,30,15,33,47,49,72,60,50,3,7,12,30,35,15
Monmouth,90,85,111,122,82,17,21,25,21,29,27,20,34,34,48,58,68,49,6,3,14,29,24,9
Morris,53,46,51,44,27,14,11,22,10,21,11,10,14,31,26,23,33,18,2,1,7,17,8,3
Ocean,126,154,132,157,105,29,24,30,22,23,20,24,34,46,84,68,74,61,9,4,19,51,58,10
Passaic,61,64,61,83,50,18,29,17,21,13,19,17,21,31,36,43,55,33,1,0,8,16,16,1
Salem,9,5,7,18,4,1,7,8,4,4,2,4,7,5,4,3,11,1,0,0,0,3,2,0
Somerset,20,32,33,35,26,3,5,5,6,8,7,6,7,7,18,15,18,13,1,2,4,5,9,1
Sussex,18,13,17,25,17,8,3,4,4,5,4,6,8,10,10,8,12,8,1,1,1,5,4,4
Union,43,45,47,67,50,18,12,16,20,16,16,15,14,29,29,22,44,30,0,3,6,13,19,3
Warren,12,14,13,21,16,5,4,2,5,3,4,9,7,4,6,5,9,9,1,1,0,9,5,3
Total,1223,1336,1304,1587,1022,362,405,451,348,379,351,306,449,591,741,706,918,594,42,46,142,417,337,57
,,,,,,,,,,,,,,,,,,,,,,,,
"*From 2004 to 2013, New Jersey classified heroin-related deaths as those where either heroin or morphine-metabolite was found in the deceased's body. Morphine deaths were made their own class in 2014, when more stringent testing was employed. Please note in any reporting of this. ",,,,,,,,,,,,,,,,,,,,,,,,
"**In 2016, New Jersey began tracking chemical analogues of fentanyl as a new drug class. ",,,,,,,,,,,,,,,,,,,,,,,,
